a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
afpfs-ng 0.8.2-3
aircrack-ng 1.7-3
alacritty 0.12.3-1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
android-studio 2022.3.1.20-1
android-tools 34.0.4-2
android-udev 20230614-1
ani-cli 4.6-1
anki 2.1.66-1
antlr4-runtime 4.13.1-1
aom 3.7.0-1
apache 2.4.57-1
appstream 0.16.3-1
appstream-glib 0.8.2-3
apr 1.7.3-1
apr-util 1.6.3-1
archlinux-keyring 20231011-1
argon2 20190702-5
aria2 1.36.0-1
aribb24 1.0.3-3
aribb25 0.2.7-2
arp-scan 1.10.0-3
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r139+ge5b0bad-1
awesome-terminal-fonts 1.1.0-4
ayatana-ido 0.10.1-1
babl 0.1.106-1
bamf 0.5.6-1
baobab 45.0-1
base 3-2
base-devel 1-1
bash 5.1.016-4
bash-pipes 1.3.0-9
bat 0.23.0-3
bc 1.07.1-4
betterlockscreen 4.2.0-1
bind 9.18.19-1
binutils 2.41-3
bison 3.8.2-6
blackarch-keyring 20180925-5
blas 3.11.0-3
blueberry 1.4.8-1
blueman 2.3.5-2
bluez 5.70-1
bluez-libs 5.70-1
bluez-tools 0.2.0-5
bolt 0.9.6-1
boost-libs 1.83.0-2
brave-bin 1:1.58.137-1
bridge-utils 1.7.1-1
brightness 23.9.5-1
brightnessctl 0.5.1-2
brillo 1.4.12-1
brltty 6.6-2
brotli 1.1.0-1
bspwm 0.9.10-3
btop 1.2.13-1
btrfs-progs 6.5.2-2
bubblewrap 0.8.0-1
buddy 2.4-6
bzip2 1.0.8-5
c-ares 1.20.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.94-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairomm 1.14.5-1
calcure 2.8.2-2
calcurse 4.8.1-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
catch2 2.13.9-1
cava 0.9.0-2
cdparanoia 10.2-8
cheese 44.1-1
chromaprint 1.5.1-7
chrono-date 3.0.1-3
chrpath 0.16-4
cider 1.6.2-8
cifs-utils 7.0-3
clang 16.0.6-1
cliphist 1:0.4.0-2
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.27.7-1
cogl 1.22.8-2
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.6-1
compiler-rt 16.0.6-2
composer 2.6.3-1
confuse 3.3-3
containerd 1.7.7-1
coreutils 9.4-2
cpio 2.14-1
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.6.1-3
cups-pk-helper 0.2.7-1
curl 8.4.0-1
cyrus-sasl-gssapi 2.1.28-3
dart 3.0.7-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbeaver 23.2.1-1
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 1.4.1-1
debtap 3.5.1-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
dictd 1.13.1-5
diffutils 3.10-1
ding-libs 0.6.2-1
discord 0.0.31-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dleyna 0.8.2-2
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docker 1:24.0.6-1
dosfstools 4.2-3
dotconf 1.3-7
dotnet-host 7.0.11.sdk111-1
dotnet-runtime 7.0.11.sdk111-1
dotnet-sdk 7.0.11.sdk111-1
dotnet-targeting-pack 7.0.11.sdk111-1
double-conversion 3.3.0-1
dpkg 1.22.0-1
dtc 1.7.0-4
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
editorconfig-core-c 0.12.6-1
edk2-ovmf 202308-3
efibootmgr 18-2
efivar 38-3
electron19 19.1.9-5
enchant 2.6.0-1
eog 45.0-1
epiphany 45.0-1
ethtool 1:6.4-1
evince 45.0-1
evolution-data-server 3.50.0-1
eww-wayland 0.4.0-1
exempi 2.6.4-1
exiv2 0.28.0-3
exo 4.18.0-1
expat 2.5.0-1
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.1-1
feh 3.10.1-2
ffmpeg 2:6.0-13
ffmpeg4.4 4.4.4-3
fftw 3.3.10-4
figlet 2.2.5-5
file 5.45-1
file-roller 43.0-2
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 118.0.2-1
flac 1.4.3-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fluidsynth 2.3.4-1
flutter 3.7.8-1
fmt 10.1.1-1
folks 0.15.6-1
fontconfig 2:2.14.2-1
fontforge 20230101-3
freeglut 3.4.0-1
freerdp 2:2.11.2-1
freetype2 2.13.2-1
frei0r-plugins 2.3.1-1
fribidi 1.0.13-2
ftgl 2.4.0-2
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fzf 0.42.0-1
garcon 4.18.1-1
gavl 1.4.0-7
gawk 5.2.2-1
gc 8.2.4-1
gcab 1.6-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gdm 45.0.1-1
gegl 0.4.46-2
geoclue 2.7.1-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.3-1
ghostscript 10.02.0-1
giflib 5.2.1-2
girara 0.4.0-1
git 2.42.0-1
git-lfs 3.3.0-1
gjs 2:1.78.0-2
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib2 2.78.0-3
glibc 2.38-7
glibmm 2.66.6-1
glm 0.9.9.8-2
glslang 13.0.0-1
glu 9.0.3-1
gmime3 3.2.13-2
gmp 6.3.0-1
gnome-autoar 0.4.4-1
gnome-backgrounds 45.0-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-1
gnome-bluetooth-3.0 42.6-1
gnome-calculator 45.0.2-1
gnome-calendar 45.0-1
gnome-characters 45.0-1
gnome-clocks 45.0-1
gnome-color-manager 3.36.0+r51+gcf7ee2b5-1
gnome-console 45.0-1
gnome-contacts 45.0-1
