a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
acl 2.3.2-1
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
aic94xx-firmware 30-9
alacritty 0.13.1-1
alsa-card-profiles 1:1.0.1-2
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
amd-ucode 20240115.9b6d0b08-1
android-studio 2023.1.1.27-1
aom 3.8.1-1
appmenu-gtk-module 0.7.6-1
appstream 1.0.1-2
archcraft-about 2.0-0
archcraft-artworks 1.0-5
archcraft-backgrounds 1.0-6
archcraft-backgrounds-branding 1.0-6
archcraft-config-geany 1.0-2
archcraft-config-music 1.0-2
archcraft-config-qt 1.0-1
archcraft-cursor-fluent 1.0-5
archcraft-cursor-future 1.0-5
archcraft-cursor-layan 1.0-5
archcraft-cursor-lyra 1.0-5
archcraft-cursor-material 1.0-5
archcraft-cursor-pear 1.0-5
archcraft-cursor-qogirr 1.0-5
archcraft-cursor-sweet 1.0-5
archcraft-cursor-vimix 1.0-5
archcraft-dunst-icons 1.0-3
archcraft-fonts 1.0-7
archcraft-funscripts 1.0-1
archcraft-grub-theme 1.0-5
archcraft-gtk-theme-adapta 1.0-6
archcraft-gtk-theme-arc 1.0-6
archcraft-gtk-theme-blade 1.0-6
archcraft-gtk-theme-catppuccin 1.0-6
archcraft-gtk-theme-cyberpunk 1.0-6
archcraft-gtk-theme-dracula 1.0-6
archcraft-gtk-theme-easy 1.0-6
archcraft-gtk-theme-everforest 1.0-6
archcraft-gtk-theme-groot 1.0-6
archcraft-gtk-theme-gruvbox 1.0-6
archcraft-gtk-theme-hack 1.0-6
archcraft-gtk-theme-juno 1.0-6
archcraft-gtk-theme-kripton 1.0-6
archcraft-gtk-theme-manhattan 1.0-6
archcraft-gtk-theme-nordic 1.0-6
archcraft-gtk-theme-rick 1.0-6
archcraft-gtk-theme-slime 1.0-6
archcraft-gtk-theme-spark 1.0-6
archcraft-gtk-theme-sweet 1.0-6
archcraft-gtk-theme-wave 1.0-6
archcraft-gtk-theme-white 1.0-6
archcraft-gtk-theme-windows 1.0-6
archcraft-help 2.0-5
archcraft-hooks 2.0-2
archcraft-hooks-extra 2.0-6
archcraft-hooks-zsh 1.0-2
archcraft-icons-arc 1.0-7
archcraft-icons-breeze 1.0-7
archcraft-icons-hack 1.0-7
archcraft-icons-luna 1.0-7
archcraft-icons-luv 1.0-7
archcraft-icons-nordic 1.0-7
archcraft-icons-numix 1.0-7
archcraft-icons-papirus 1.0-7
archcraft-icons-qogir 1.0-7
archcraft-icons-white 1.0-7
archcraft-icons-win11 1.0-7
archcraft-icons-zafiro 1.0-7
archcraft-mirrorlist 2.0-2
archcraft-music 1.0-5
archcraft-neofetch 1.0-3
archcraft-omz 2.0-2
archcraft-openbox 6.0-3
archcraft-plymouth-theme 1.0-5
archcraft-randr 1.0-3
archcraft-ranger 1.0-3
archcraft-sddm-theme 1.0-5
archcraft-vim 1.0-9
archlinux-keyring 20231222-1
argon2 20190702-5
ast-firmware 501-1
at-spi2-core 2.50.1-1
atkmm 2.28.4-1
atril 1.26.1-1
attr 2.5.2-1
audiofile 0.3.6-8
audit 4.0-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
aws-cli-git 1.31.11.r11701.gaab28292f-1
ayatana-ido 0.10.1-1
b43-fwcutter 019-4
bamf 0.5.6-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-pipes 1.3.0-9
bat 0.24.0-1
bc 1.07.1-4
betterlockscreen 4.2.0-1
bind 9.18.21-1
binutils 2.41-3
bison 3.8.2-6
blueman 2.3.5-2
bluez 5.72-2
bluez-libs 5.72-2
bluez-utils 5.72-2
boost-libs 1.83.0-4
brave-bin 1:1.61.114-1
brltty 6.6-4
broadcom-wl 6.30.223.271-524
brotli 1.1.0-1
bspwm 0.9.10-3
btop 1.3.0-2
btrfs-progs 6.7-1
bubblewrap 0.8.0-1
burpsuite 2023.12.1-1
bzip2 1.0.8-5
c-ares 1.25.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.97-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairo-perl 1.109-3
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cava 0.9.1-1
cfitsio 1:4.3.1-1
chromaprint 1.5.1-7
cifs-utils 7.0-3
clang 16.0.6-2
clonezilla 3.35.2-5
cloud-init 23.4.2-1
cmake 3.28.2-1
colord 1.4.7-1
compiler-rt 16.0.6-3
confuse 3.3-3
coreutils 9.4-3
cppdap 1.58.0-1
cronie 1.7.1-1
cryptsetup 2.7.0-1
ctpl 0.3.4-4
cups 1:2.4.7-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
dhclient 4.4.3.P1-2
dhcpcd 10.0.6-1
dialog 1:1.3_20240101-1
diffutils 3.10-1
ding-libs 0.6.2-1
discord 0.0.42-1
djvulibre 3.5.28-5
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
drbl 2.30.5-3
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ecryptfs-utils 111-8
edk2-shell 202311-1
efibootmgr 18-2
efivar 38-3
elementary-icon-theme 7.3.1-1
ell 0.61-1
enca 1.19-5
enchant 2.6.5-1
ethtool 1:6.5-1
eww-git 0.4.0.r47.ga9a35c1-1
exfatprogs 1.2.2-1
exiv2 0.28.1-1
exo 4.18.0-1
expat 2.5.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.33-1
fatresize 1.1.0-1
feh 3.10.2-1
ffmpeg 2:6.1.1-3
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 122.0-1
flac 1.4.3-1
flex 2.6.4-5
fluidsynth 2.3.4-1
flutter 3.16.5-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
foomatic-db 3:20230903-1
foomatic-db-engine 4:20220521-1
foot-terminfo 1.16.2-2
freeglut 3.4.0-1
