  folder-awesome
  folder-open-awesome
  file-awesome
  code-awesome
  user-secret-awesome
  bug-awesome
  file-code-awesome
  heart-awesome
  gamepad-awesome
  youtube-awesome
  spotify-awesome
  whatsapp-awesome
  github-awesome
😀 grinning-face-emoji
😂 face-with-tears-of-joy-emoji
🤣 rolling-on-the-floor-laughing-emoji
😅 grinning-face-with-sweat-emoji
😎 smiling-face-with-sunglasses-emoji
🤓 nerd-face-emoji
🤨 face-with-raised-eyebrow-emoji
🧐 face-with-monocle-emoji
🤡 clown-face-emoji
👈 backhand-index-pointing-left-emoji
👉 backhand-index-pointing-right-emoji
👆 backhand-index-pointing-up-emoji
👇 backhand-index-pointing-down-emoji
👋 waving-hand-emoji
🤙 call-me-hand-emoji
💪 flexed-biceps-emoji
🖕 middle-finger-emoji
❤️ heart-emoji
🔧 wrench-emoji
📱 mobile-phone-emoji
⌚ watch-emoji
✅ check-mark-button-emoji
❎ cross-mark-button-emoji
❌ cross-mark-emoji
🚫 prohibited-emoji
🎵 musical-note-emoji
🔈 speaker-low-volume-emoji
🔉 speaker-medium-volume-emoji
🔊 speaker-high-volume-emoji
🔇 muted-speaker-emoji
💯 hundred-points-emoji
🔑 key-emoji
🎮 video-game-emoji
👾 alien-monster-emoji
🎬 clapper-board-emoji
🏅 sports-medal-emoji
🥇 1st-place-medal-emoji
🥈 2nd-place-medal-emoji
🥉 3rd-place-medal-emoji
🏆 trophy-emoji

