a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
aic94xx-firmware 30-9
alsa-card-profiles 1:1.0.1-2
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
aom 3.8.1-1
appstream 1.0.1-2
archlinux-keyring 20231222-1
argon2 20190702-5
ast-firmware 501-1
at-spi2-core 2.50.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audiofile 0.3.6-8
audit 4.0-1
avahi 1:0.8+r194+g3f79789-1
ayatana-ido 0.10.1-1
bamf 0.5.6-1
bash 5.2.026-2
bc 1.07.1-4
binutils 2.41-3
bluez-libs 5.72-2
boost-libs 1.83.0-4
brotli 1.1.0-1
bubblewrap 0.8.0-1
c-ares 1.25.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.97-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairo-perl 1.109-3
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cfitsio 1:4.3.1-1
chromaprint 1.5.1-7
cifs-utils 7.0-3
colord 1.4.7-1
compiler-rt 16.0.6-3
confuse 3.3-3
coreutils 9.4-3
cppdap 1.58.0-1
cronie 1.7.1-1
ctpl 0.3.4-4
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
ding-libs 0.6.2-1
djvulibre 3.5.28-5
dnssec-anchors 20190629-3
double-conversion 3.3.0-1
drbl 2.30.5-3
duktape 2.7.0-6
ecryptfs-utils 111-8
efivar 38-3
elementary-icon-theme 7.3.1-1
ell 0.61-1
enca 1.19-5
enchant 2.6.5-1
exiv2 0.28.1-1
exo 4.18.0-1
expat 2.5.0-1
faac 1.30-4
faad2 2.11.1-1
feh 3.10.2-1
fftw 3.3.10-4
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
flac 1.4.3-1
fluidsynth 2.3.4-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.45.0-1
garcon 4.18.1-1
gawk 5.3.0-1
gc 8.2.4-1
gcc-ada 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.2-1
gcr-4 4.1.0-1
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gettext 0.22.4-1
giflib 5.2.1-2
girara 0.4.2-1
git 2.43.0-1
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib-perl 1.329.3-4
glib2 2.78.4-1
glibc 2.38-7
glibmm 2.66.6-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnome-menus 3.36.0-2
gnome-themes-extra 3.28+r6+g45b1d457-1
gnupg 2.4.4-1
gnustep-base 1.29.0-3
gnutls 3.8.3-1
gobject-introspection-runtime 1.78.1-1
gperftools 2.15-1
gpgme 1.23.2-1
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
grub-update 2.12rc1.r49.ge58b870ff-1
gsettings-desktop-schemas 45.0-1
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-plugins-bad-libs 1.22.9-2
gst-plugins-base-libs 1.22.9-2
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.12.5-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.12.5-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.8-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtkspell3 3.0.10-2
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs-goa 1.52.2-2
harfbuzz 8.3.0-2
harfbuzz-icu 8.3.0-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
http-parser 2.9.4-1
hwdata 0.378-1
hwloc 2.10.0-1
hyphen 2.8.8-5
iana-etc 20231228-1
icu 74.2-1
ijs 0.35-5
imagemagick 7.1.1.27-1
imath 3.1.10-1
imlib2 1.12.1-2
iniparser 4.1-4
iproute2 6.7.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
jansson 2.14-2
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jemalloc 1:5.3.0-3
jre17-openjdk-headless 17.0.10.u7-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kbd 2.6.4-1
keyutils 1.6.3-2
kitty-shell-integration 0.31.0-1
kitty-terminfo 0.31.0-1
kmod 31-1
krb5 1.21.2-2
kwindowsystem5 5.114.0-1
l-smash 2.14.5-3
lame 3.100-4
lbzip2 2.5-5
lcms2 2.16-1
ldb 2:2.8.0-1
ldns 1.8.3-2
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.10-2
lib32-alsa-plugins 1.2.7.1-2
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.5.0-1
lib32-dbus 1.14.10-2
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-fontconfig 2:2.15.0-1
lib32-freetype2 2.13.2-1
lib32-gcc-libs 13.2.1-3
lib32-gettext 0.22.4-1
lib32-glib2 2.78.4-1
lib32-glibc 2.38-7
lib32-gmp 6.3.0-1
lib32-harfbuzz 8.3.0-2
lib32-icu 74.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.21.2-1
lib32-libcap 2.69-1
lib32-libdrm 2.4.119-1
lib32-libelf 0.190-1
lib32-libffi 3.4.4-1
lib32-libgcrypt 1.10.3-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.47-1
lib32-libidn2 2.3.4-2
lib32-libldap 2.6.6-1
lib32-libnl 3.9.0-1
lib32-libpcap 1.10.4-1
lib32-libpciaccess 0.17-1
lib32-libpng 1.6.41-1
lib32-libpsl 0.21.2-1
lib32-libssh2 1.11.0-1
lib32-libtasn1 4.19.0-1
lib32-libtirpc 1.3.4-1
lib32-libunistring 1.1-1
lib32-libunwind 1.7.2-1
lib32-libx11 1.8.7-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.16-1
